,Produktnamn,Registreringsnummer
2280,EXTERIS StressGard,5461
2281,Gro-Stop Electro,5326
2282,Spotlight Plus,4851
2283,Starane 333 HL,5234
2284,Signum,4884
2285,VitiSan,5480
2286,Flügger Wood Tex Grundolja,5186
2287,Maxforce White IC,4469
2288,Quickphos 56% GE,5554
2289,Vibrance SB,5444
2290,Basagran SG,
2291,TEPPEKI,4966
2292,Fastac 50,4530
2293,K-Othrine Flexx,5448
2294,K-Othrine Partix,5448
2295,Amylo-X WG,5546
2296,Fibro,5174
2297,Smidge,5456
2298,Provanto insektspinne,5422
2299,VOTiVO,5525
2300,Betasana Duo,5058
2301,Mavrik,4491
2302,Mavrik 2F,4491
2303,Autan Multi Insect Pumpspray,4314
2304,Autan Multi Insect Spray,4829
2305,Pirimor,5463
2306,Steward 30 WG,5429
2307,Biltema Ogräsättika,PHT-0054-5418
2308,Gibb Plus,
2309,Optimus,PHT-0053-5496
2310,Pest-Stop Fluestop,4837
2311,Pest-Stop Getingspray,4837
2312,BASF Forbel 750,3615
2313,Primo Maxx,5004
2314,Zinc Omadine ZOE Dispersion,5438
2315,K-Othrine WG 250,5289
2316,Typosan P306,
2317,Contrac Pellets,5508
2318,Contrac Rodenticide,5508
2319,Notrac Pellets,5508
2320,Onyx,5487
2321,Tomcat Pellets,5508
2322,Tomcat Rodenticide,5508
2323,ACS Boron Rods,5198
2324,Goltix WG,5261
2325,Vacsol Aqua 6114,5331-1-1
2326,Vacsol Aqua 6114 Coloured,5331-1-2
2327,Calypso SC 480,5427
2328,Zaftra AZT 250SC,PHT-0052-5465
2329,Celcure M65,5474
2330,Free Active Plus Repellent,5386
2331,Racumin Pasta,5407
2332,Imprid Skog,5139
2333,Provado Care,4912
2334,Substral Insektsmedel spray,4913
2335,Rodicum Express,5531
2336,Biscaya OD 240,5437
2337,Pest Stop Myrespray,4886
2338,Pest Stop Universal Insektspray,4886
2339,Boxer,3887
2340,Gaucho WS 70,4288
2341,Mirador,PHT-0050-5465
2342,Mixin,PHT-0051-5215
2343,Rentokil N2 Controlled Atmosphere,5120
2344,Legacy 500 SC,5002
2345,MKH Power SG 70,PHT-0049-5445
2346,Aliette 80 WG,4048
2347,Bansan 920 P,4660
2348,Zorvec Enicade,5526
2349,Folicur Xpert,5413
2350,Conviso One SW,PHT-0047-5254
2351,Moddevo,PHT-0048-5194
2352,Zakeo Forte,PHT-0046-5384
2353,Envision,4490
2354,Ficam W,5125
2355,Rentokil CO2 Controlled Atmosphere,5277
2356,PMV-01,5501
2357,Difenard,5455
2358,Fentrol,5449
2359,Brodifacoum Paste,5414
2360,Bromard,5446
2361,Talon Soft,5414
2362,Facett Block B,5514
2363,Tramat SC 500,5374
2364,Belvedere,5162
2365,Curbatur,PHT-0045-4688
2366,143510 PE ANTITERMITE MASTERBATCH,EU-0015409-0004
2367,9028 PE ANTIRAT MASTERBATCH,EU-0015777-0002
2368,Roxy 800 EC,5137
2369,Topsin WG,4888
2370,BA2892,4935
2371,Cedress,4935
2372,V10,5502
2373,Geoxe 50 WG,5404
2374,K-Othrine SC 25,5327-1-1
2375,K-Othrine SC 26.25,5327-1-2
2376,Zypar,5274
2377,Keeper mot Ogras & Mossa,PHT-0044-4890
2378,Pico 750 WG,5034
2379,Saracen,5494
2380,Sportak EW,4188
2381,Ficam D,5490
2382,Vespo X,5108
2383,Confidor WG 70,5486
2384,Reglone,3367
2385,OgräsNIX Trippel Effekt,4801
2386,Celcure AC 800,4534
2387,Agil 100 EC,5232
2388,Flexity,4847
2389,BASF MCPA 750,3345
2390,Duplosan Max,3345
2391,MCPA 750,3345
2392,Betanal Power,4868
2393,Fastac 50,4530
2394,Neo-Stop L500 HN,4960
2395,Rotstop,5475
2396,Rotstop E,5477
2397,Rotstop S,5476
2398,Rotstop V,5478
2399,Salsa,
2400,Storanet,5278
2401,Trinet-P,5279
2402,Amistar Gold,5416
2403,Substral Myrdosa,5323
2404,Bird Free,EU-0018311-0000
2405,Duoex V4 Professional,4951
2406,Fire Gel,EU-0018311-0000
2407,Optical Gel,EU-0018311-0000
2408,Movento SC 100,5246
2409,Myrr N aero spray,5332
2410,Get Off Cat & Dog Repellent,4950
2411,Notrac Blox,5172
2412,Notrac Pellets,5173
2413,Plenum,5460
2414,Comet Pro,5163
2415,Sanium Pin,5422
2416,Fibro,5174
2417,TEPPEKI,4966
2418,Calypso SC 480,5427
2419,TEPPEKI,4966
2420,Plenum 50 WG,4792
2421,Mot Ogräs & Mossa,PHT-0043-4890
2422,Purelo,5385
2423,Temus Block Pro,5415
2424,Titus,4124
2425,Coragen 20 SC,
2426,Coragen 20 SC,
2427,Conserve,4511
2428,Prestige FS 370,5376
2429,Sencor SC 600,5197
2430,Cerone,3571
2431,Beret Extra Formula M,PHT-0041-5027
2432,Bromicide Gel,4515
2433,Bromicide Pulver,4195
2434,Express 50 SX LM,PHT-0042-5430
2435,Spectrum RX7819,3766
2436,SPECTRUM RX8804,4516
2437,MecDEET Solution,5442
2438,BANNER MAXX II,5440
2439,Racumin Foam,5441
2440,Anti Mosquito,4831
2441,Biscaya OD 240,5437
2442,Calypso SC 480,5427
2443,CEL 265 35,4915
2444,CEL 265 43,4914
2445,DR 1,4830
2446,Dubbel Kraft Ättika,5419
2447,Kraft Ättika,5418
2448,OgräsNIX DE Plus,4801
2449,Proffs Kraft Ättika,5420
2450,Substral Insektsmedel koncentrat,4911
2451,Trimaxx,5121
2452,Care Plus Anti-Insect Natural,4317
2453,Jura,5421
2454,Sigmalife Primer Aqua,5426
2455,Mygga Fästing 2 in 1 Spray,4901
2456,SF GOLD,PHT-0040-5328
2457,Vitisan,
2458,Nissorun SC,5334
2459,Tramat SC 500,5374
2460,Beta-Baythroid SC 025,4365
2461,Anti Mygg,5417
2462,Insect Stop,5417
2463,IR 35/10,5417
2464,Mosquito Shield,5417
2465,Amistar,4219
2466,Ficam D,5124
2467,Exosex SPTab,EU-0014018-0000
2468,Buctril EC 225,
2469,Fenix,5288
2470,Provanto Care Insektspinnar,PHT-0039-4912
2471,Conviso One OD,PHT-0038-5254
2472,Halogene G,4823
2473,Halogene T-30,4822
2474,SURE Antibac Foam Hand Wash Free,EU-0006622-0016
2475,Amistar,4219
2476,Grundolja Trä,5237
2477,Perfekt Grundolja Trä,5239
2478,Primex Grundolja,5237
2479,Primex Grundolja Plus,5239
2480,Armure,4902
2481,Attribut SG 70,4710
2482,Banner Maxx,5074
2483,Barclay Bolt XL,5032
2484,Bumper 25 EC,4939
2485,Merit Turf,5366
2486,Pirimor,5134
2487,Stereo 312.5 EC,4306
2488,Tilt 250 EC,3572
2489,Mot Sniglar F,5400
2490,Mogeton Top,5403
2491,Pyrsol Spray,PHT-0030-5350
2492,Raptol Bladlöss Effekt Färdigblandad,PHT-0037-5350
2493,Spraits AF,PHT-0029-5350
2494,Evure Neo,PHT-0036-4491
2495,Zetrola,PHT-0035-5232
2496,Raffaello Baltic,5149
2497,Raffaello Norseman,4943
2498,Sure Cleaner Disinfectant Spray,EU-0006622-0011
2499,Anti myror myrdosa,4857
2500,Basic Myrdosa,4857
2501,Endant,4857
2502,Family Matters Myrdosa,4857
2503,Formica Box (myrdosa),4857
2504,Myr Effekt Metalldosa,4857
2505,NEU 1262 I,4857
2506,Raid Optimal Myrdosa,4857
2507,Spinosad Myr Effekt,4857
2508,Spinosad Myr Effekt Refill,4857
2509,Avaunt,5115
2510,Cuprinol Grundolja,5402
2511,Nordsjö Tinova Wood Base Oil BPR,5402
2512,Agroxone,3236
2513,Nufarm MCPA 750,3236
2514,Family Matters Ogrässpray,PHT-0032-4658
2515,Ironmax Pro,5378
2516,Jura,5385
2517,Stoppa Ogräs Koncentrat,PHT-0031-4657
2518,Stoppa Ogräs Spray,PHT-0033-4658
2519,Agita 10 WG,4984
2520,Busan 110WBE,4666
2521,Fennosan M9,4545
2522,Get Off Spray,4947
2523,Lefant Nautica Copper,4881
2524,Monceren FS 250,4357
2525,MossNIX,4444
2526,NALCO 74766,4547
2527,Quick Bayt,5375
2528,Spectrum RX7849,4546
2529,Stop-It Flugpenna,4994
2530,Swirr Insektsbarriär,5017
2531,Swirr Myrbete,5016
2532,Swirr Myrdosa,5018
2533,Swirr Myrpuder,5025
2534,Wash and Get Off Indoor and Outdoor Cleaner,4949
2535,Laqvin Ton SX 1420,5064
2536,Family Matters Snigel granulat,PHT-0028-4414
2537,Quadris,PHT-0034-4219
2538,ANTIFOULING Baltic,5398
2539,ANTIFOULING West,5399
2540,Hempel's Mille NCT 7173A,5395
2541,Hempel's Mille NCT 7173B,5396
2542,HEMPEL'S MILLE NCT 7173C,5397
2543,Mot sniglar F,PHT-0027-4414
2544,Gullviks PRIMA,PHT-0025-4954
2545,SuPrim,PHT-0026-4552
2546,Family Matters Flug & Geting Spray,4717
2547,Family Matters Myrpulver,4730
2548,Delan WG,4218
2549,Tanalith E 3462,5242
2550,Tanalith E 3463,5242
2551,Baygon Myrpulver,4363
2552,Raid Myrpulver,4363
2553,Maxforce Quantum Myrdosa,5381
2554,Hempel's Antifouling Globic 9000 78902,4769
2555,Hempel's Antifouling Globic 9000 78952,4768
2556,Black Pearl Grain,5155
2557,Flash Grain,5155
2558,Grain AF,5155
2559,Kobra Rax Musgift Korn,5155
2560,Magik Grain,5155
2561,Muridax AK bete,5155
2562,Muskorn,5155
2563,Racan Grain AF,5155
2564,Trinol Musgift,5155
2565,Alpha Pasta 4%,5156
2566,Black Pearl Pasta,5156
2567,Flash Paste,5156
2568,Kobra Rax Musgift Pasta,5156
2569,Magik Paste,5156
2570,Muridax AK box,5156
2571,Muridax AK pasta,5156
2572,Paste AF,5156
2573,Racan Paste AF,5156
2574,Dubbel Kraft Ättika,4098
2575,Kraft Ättika,4272
2576,Proffs Kraft Ättika,4076
2577,DeltAx puder,5356-1-2
2578,Globaztar 250 SC,5369
2579,Myrr D,5356-1-2
2580,Myrr D Deltamethrin DP 0.05,5356-1-1
2581,Tripali,5346
2582,Select,4376
2583,Cello Pohjuste Aqua,5368
2584,AMP 1 RB B,5018
2585,AMP 2 MG,5025
2586,Myrr Flex,5025
2587,Maxforce Quantum,4930
2588,Maxforce Quantum Myrdosa,4925
2589,MotMyra Myrdosa,5018
2590,Myrr Extra,4712
2591,Myrr Myrdosa,4711
2592,Anti MyrA Insektsspray,5017
2593,Anti MyrA Myrdosa,5018
2594,Anti MyrA Myrpulver,5025
2595,Gallery,4978
2596,Merit Forest WG,4605
2597,Merit Turf,4803
2598,MotMyra Myrpulver,5025
2599,Prestige FS 370,4570
2600,Quick Bayt,4581
2601,Sportak EW,4188
2602,Warrant 700 WG,4758
2603,AMP 1 RB S,5016
2604,AMP 2 CL,5017
2605,Kvitt mot flygande insekter,5108
2606,Autan Multi Insect Dry Spray,5363
2607,Autan Protection Plus Dry Spray,5363
2608,Autan Protection Plus Mygg- och Fästing Spray,5363
2609,Autan Sport Dry Spray,5363
2610,Autan Tropical Dry Spray,5363
2611,Autan Tropical Spray,5363
2612,Off! Multi Insect Dry Spray,5363
2613,Off! Protection Plus Dry Spray,5363
2614,Off! Sport Dry Spray,5363
2615,Off! Tropical Dry Spray,5363
2616,Heritage,5361
2617,Clomate,5262
2618,Movento SC 100,5246
2619,Barclay Gallup Biograde 360,
2620,VectoBac G,4889
2621,VectoBac GR,4924
2622,Myrr Spray,5355-2-1
2623,Myrr Spray Deltamethrin EW 0.15,5355-1-1
2624,ThermaCELL Myggskydd II,5357
2625,Monitor,4304
2626,Belkar,5352
2627,Goltix WG,5261
2628,Steward 30 WG,4979
2629,Platform 40 WG,4772
2630,Salsa,
2631,Butisan Top,4634
2632,Kvitt mot krypande insekter,5332
2633,Biscaya OD 240,4791
2634,Ally Class 50 WG,4404
2635,Barclay D-quat,5005
2636,Barclay Gallup Biograde 360,4812
2637,Barclay Gallup Hi-Aktiv,4811
2638,CDQ SX,5057
2639,Diqua,5006
2640,Epok 600 EC,4361
2641,Fenox,5170
2642,Glyfonova Bio,4471
2643,Glypper,5043
2644,Harmony 50 SX,4756
2645,Harmony Plus 50 SX,4957
2646,Kvick Down Bio,4367
2647,Lexus 50 WG,4540
2648,Myrr D,4668
2649,Myrr spray,4796
2650,Quad-Glob 200 SL,5022
2651,Rambo Bio,4504
2652,Rambo Bio Spray,4489
2653,RATIO Super SX,5036
2654,Reglone,3367
2655,Resolva Weedkiller,5244
2656,Roundup G,4036
2657,Touchdown Premium,4472
2658,Coragen 20 SC,
2659,Flügger 01 Wood Tex Grundolja,5302
2660,Conserve,4511
2661,Headway,5294
2662,TEPPEKI,4966
2663,Kerb Flo 400,4610
2664,Admiral 10 EC,4557
2665,Basilit B,3885
2666,Conserve,4511
2667,Impralit B,3885
2668,Turex 50 WP,4492
2669,Boracol 20,5322
2670,Neudosan Neu,
2671,Kerb Flo 400,4610
2672,Mogeton WP,4226
2673,Flocter WP5,5316
2674,Clinic Up,PHT-0024-4812
2675,MaisTer,4906
2676,Sikkens Cetol WV 880 (BPD),5183
2677,GF-2573,5308
2678,Osmo Träimpregnering WR Aqua 4008 Färglös,5304
2679,Flügger Wood Tex Grundolja V Aktiv,5302
2680,Switch 62.5 WG,4587
2681,Myggstopplykta,5303
2682,StoPrim Protect W,5299
2683,VitiSan,
2684,Raptol,4866
2685,Raptol Insekt Effekt,4574
2686,Raptol Insekt Effekt koncentrat,4573
2687,Fibro,5174
2688,Talius,5301
2689,Sencor SC 600,5197
2690,TWP 077,4738-1-1
2691,Bansan 920,3978
2692,Buctril EC 225,
2693,Binab TF WP,4420
2694,Centium 36 CS,4778
2695,Ecocin 1 + 1 mot ogräs,4675
2696,Focus Ultra,3987
2697,pro-Opti,PHT-0023-5137
2698,Saracen,5217
2699,Saracen Delta,5218
2700,Topas 100 EC,3740
2701,Amistar,4219
2702,Centium 36 CS,4778
2703,Serenade ASO,5251
2704,BASF Cycocel Plus,5257
2705,Bosarp Block,5190
2706,Bosarp Pasta,5189
2707,Brodifacoum Paste,5160
2708,Cruiser 600 FS SB,5028
2709,Desintec BrodEx Haferflockenköder,5191
2710,Force 20 CS,3993
2711,Headway,5076
2712,Impralit CK,5024
2713,Klerat pellets,3828
2714,Klerat vaxblock,3829
2715,Strong,5191
2716,Talon soft,5161
2717,Exemptor 10 GR,4827
2718,TWP 077,5062
2719,TWP 077,4738
2720,Lignosan 9 MEC,5287
2721,BIM CC 3250,4512
2722,BIM MC 4950,4126
2723,Boracol 10-2Bd Prof,4645
2724,CLAC Lotion,4945
2725,Fennosan IT 21 V,3810
2726,K-Othrine SC 25,4795
2727,Maxforce LN Myregranulat,4853
2728,Preferal,4550
2729,Protectol GA 50,4409
2730,Protim E415,4800
2731,Rancona i-Mix,5295
2732,Sinesto B,3697
2733,Tanalith E-7,4458
2734,Topsin WG,4888
2735,WOODEX BASE,5142
2736,Woodex Base,5141
2737,Gori 356,5073
2738,Floramite 240 SC,4832
2739,ISP Antiblue,5069
2740,ISP Antiblue,5068
2741,Movento SC 100,5246
2742,Hussar Plus OD,5221
2743,Sigmarine 290,4991
2744,Teldor WG 50,4339
2745,Chekker,4767
2746,Endital AF,PHT-0022-4658
2747,Safari 50 DF,4187
2748,Rancona i-Mix,5295
2749,"Glyfonova 7,2 g/l",4564
2750,Pinja Priming Oil,5281
2751,Pinja Priming Oil,5280
2752,Bridex Träskyddsgrund vattenspädbar med blånadsskydd,5220
2753,Bridex Träskyddsgrund vattenspädbar med blånadsskydd,5219
2754,RAW Wood Primer Transparent Acryl,5220
2755,RAW Wood Primer Transparent Acryl,5219
2756,Nuance,5012
2757,902 DK1 Impregnering T102,5276
2758,902 DK1 Impregnering T102,5275
2759,TEPPEKI,4966
2760,Gnatrol SC,5241
2761,Probloc,5270
2762,Wocosen WF,5106
2763,Wocosen WF,5105
2764,Visir Oljegrunning Pigmentert,5052
2765,Fenix,4123
2766,Wocosen SF,5081
2767,Keeper Total K,PHT-0020-4504
2768,Keeper Total S,PHT-0019-4489
2769,Spaits AF,PHT-0018-4574
2770,Comet,4583
2771,Endant S,4730
2772,Biscaya OD 240,4791
2773,Exilas,4825
2774,Confidor WG 70,4455
2775,Mavrik 2F,4491
2776,Storm,3742
2777,Tricolor,PHT-0021-4568
2778,Natria S myrdosa,5258
2779,Prestop Mix,4846
2780,Betanal Power,4868
2781,Natria Spray,5108
2782,Radar Dos Spray,5108
2783,Conserve,4511
2784,Conserve,4511
2785,Ethosat 500 SC,5011
2786,Salsa,
2787,Butisan Top,4634
2788,Amigo FS 350,5250
2789,Calypso SC 480,4820
2790,Conserve,4511
2791,Bromadiolone Wax Block (Compressed),5101
2792,Bromard,5140
2793,Facett Block B,5152
2794,Facett Cereal B,5154
2795,Facett Pasta B,5153
2796,Jade Block,5123
2797,Jade Pasta,5122
2798,Mice tox Block,5164
2799,Mice tox Paste,5165
2800,Mice tox Wheat'Tech,5166
2801,MotMus block,5164
2802,MotMus pasta,5165
2803,MotMus vete,5166
2804,Protect Grain Bait,5184
2805,Racumin Foam,5188
2806,Racumin Pasta G,5159
2807,Racumin Pasta P,5158
2808,Ratimor Bromadiolon Blockbete,5151
2809,ROZOL BLOCK,5164
2810,Rozol Block Pro,5167
2811,ROZOL PASTA,5165
2812,Rozol Pasta Pro,5168
2813,Rozol Pellets,5181
2814,Rozol Pellets Pro,5182
2815,Rozol Wheat' Tech Pro,5169
2816,ROZOL WHEAT'TECH,5166
2817,Temus Bete Pro,5175
2818,Temus Block Pro,5176
2819,Djungelolja,3857
2820,US 622 Mygg- & Fästingservetter,3860
2821,US 622 Mygg- & Fästingspray,3893
2822,US 622 Mygg- & Fästingstift,3859
2823,Coragen 20 SC,
2824,Biltema Myrdosa,5247
2825,COM 111 06 I RB,5247
2826,Myrdosa NB,5247
2827,Phostoxin,5192
2828,Spinosad myrdosa,5247
2829,Sterminio 2000,4025
2830,Sterminio Liquid,4045
2831,Movento SC 100,5246
2832,Kumulus DF,3022
2833,Conserve,4511
2834,Prestop,4934
2835,VermiNIX,4993
2836,Moddus Start,5194
2837,Select,4376
2838,Steward 30 WG,4979
2839,Bioglans,
2840,Zence 40,
2841,Steward 30 WG,4979
2842,Mogeton WP,4226
2843,Bestå Grundolja Trä,5238
2844,Fungazil 100,4699
2845,TEPPEKI,4966
2846,Centium 36 CS,4778
2847,Clinic,4870
2848,VitiSan,
2849,Hormotex 750,3247
2850,Salubrin Fästing Spray,4909
2851,Salubrin Mygg Lotion,4908
2852,Salubrin Mygg Spray,4907
2853,INFINITO,5072
2854,Previcur Energy,5046
2855,Sure Cleaner Disinfectant Spray,LV/2014/SP/01- 10P
2856,Gaucho WS 70,4288
2857,System Grundolja Trä,5240
2858,Aliette 80 WG,4048
2859,Centium 36 CS,4778
2860,Mycostop,4295
2861,Prestop,4934
2862,Express 50 SX,4956
2863,Trimmer 50 SG,5020
2864,Signum,4884
2865,Salvesafe A28M,LV/2014/SP/01-8P
2866,Sure Antibac Handwash,LV/2014/SP/01-8P
2867,Lumica,PHT-0017-4898
2868,Sonis,PHT-0016-4140
2869,Myrr P,4730
2870,Revus,4843
2871,Cryptolaemus montrouzieri Rovskalbagge,5224
2872,"Guldögonslända, bladluslejon (Chrysoperla carnea)",5225
2873,Mospilan,4739
2874,Mospilan SG,4739
2875,BioCarsia,5222
2876,Bridex träskyddsgrundvattenspädbar med blånadsskydd,5219
2877,RAW Wood Primer Transparent Acryl,5219
2878,Accurate,4885
2879,ALLY 50 ST,4727
2880,Barclay Gallup 360,4810
2881,Ecoplug MAX,4903
2882,Glyfonova Supreme,4879
2883,Glyphogan 480 SL,4839
2884,Glyphomax,4437
2885,Hylobi Forest,4809
2886,"Karate 2,5 WG",4164
2887,Keeper K,4436
2888,Keeper Spray,4435
2889,Kreosotolie,4035
2890,Roundup,3220
2891,Roundup Bio,3937
2892,Roundup Max,4466
2893,SmartBayt,4877
2894,Sumi-alpha 5 FW,3753
2895,Träskyddsmedel Typ C,4572
2896,Verdys,4752
2897,VfT-Kreosotolja M,3386
2898,Butinox Futura Grunning,5049
2899,Generation Mix,5094
2900,Andersoni-Rovmide,5128
2901,Coccophagus lycimnia,5130
2902,Encarsia citrina,5132
2903,Franklinothrips vespiformis,5133
2904,Flugspray Killmaster,4837
2905,Getingspray Killmaster,4837
2906,Snip insektsdosa,4300
2907,Snip silverfisk,4300
2908,Trinol Turbo-Jet,5108
2909,Cerone,3571
2910,Rå-Väck,4327
2911,Get Off Gel Spray,4948
2912,Laqvin Seal AA1950,5116
2913,Rancona i-Mix,5295
2914,Substral Näringspinnar med insektsmedel 2in1,PHT-0015-4912
2915,Switch 62.5 WG,4587
2916,Apron XL,4362
2917,Apron XL 350 ES,4362
2918,Kaiso Sorbie,5195
2919,TURF WPG,PHT-0013-4934
2920,TURF WPS,PHT-0014-4295
2921,Biscaya OD 240,4791
2922,Sigmalife Aqua Primer,5203
2923,Barclay Gallup Biograde 360,4812
2924,"No Weed Special, mot ogräs",4801
2925,Ogräsättika,4272
2926,Stroller-Plus Trippel,4681
2927,Topsin WG,4888
2928,Mirador 250 SC,5021
2929,Rotstop S Gel,4818
2930,Gnatrol SC,5241
2931,Nimbus CS,4669
2932,Movento 100 SC,
2933,Stoppa insekter koncentrat,PHT-0012-4573
2934,Switch 62.5 WG,4587
2935,Signum,4884
2936,Free Active Aerosol Repellent,5180
2937,Free Active Plus Repellent,5179
2938,Free Lotion Plus Repellent,5178
2939,Spectra,PHT-0011-4972
2940,Stoppa insekter,PHT-0010-4574
2941,Movento 100 SC,
2942,Betanal SC,4112
2943,Butisan Top,4634
2944,Pirimor,5134
2945,Conserve,4511
2946,"Karate 2,5 WG",4164
2947,Acanto,4773
2948,Zence 40,
2949,Nissorun,3826
2950,Bioglans,
2951,Sportak EW,4188
2952,Butinox Futura Grunning,5048
2953,Balance SX,5036
2954,Fruktträd Effekt,4920
2955,Caliban Duo,5080
2956,Helmstar 75 WG,5030
2957,MADEX,4921
2958,Ranman,4586
2959,Remover,4801
2960,Symbol,5037
2961,Etna,5035
2962,NA Glyfosat,5023
2963,Glyfonova 120 g/l,4563
2964,Glyfonova 360 SL,4368
2965,Keeper SG 680,4931
2966,Spotlight 24 EC,4401
2967,Herbiclean SL,5045
2968,Hussar,4679
2969,Butisan Top,4634
2970,Mogeton WP,4226
2971,Bio Kombi Gardenline Gräsmattegödsel mot mossa,4854
2972,Flytande MossNIX,4714
2973,Kraft Ättika,4072
2974,MossNIX Eco,4876
2975,Roundup FL 540,4971
2976,Roundup Stop,4569
2977,Stoppar Mossa,3880
2978,Roundup W,4589
2979,Bladlöss Effekt,4919
2980,Sluxx,4893
2981,Conserve,4511
2982,Starane 180,3838
2983,Alert Block D,5099
2984,Alert Cereal D,5112
2985,Alert Pasta D,5100
2986,BASF Cycocel Plus,3272
2987,Carial Star,PHT-0009-5110
2988,Difenard,5053
2989,Fentrol,5054
2990,Fentrol Bait Blocks,5055
2991,Goliath,4855
2992,Goltix SC 700,4237
2993,Goltix WG,3297
2994,Kobra Rax Difenacoum K3,5086
2995,Kobra Rax Difenacoum Råttgift,5086
2996,MURABLOCK,5114
2997,Ratak Vaxblock,5102
2998,Ratimor Blockbete,5083
2999,Ratimor Pastabete,5084
3000,Roundup FL 360,4970
3001,Rubis Grain,5097
3002,Sorexa Gold,5085
3003,Sorexa Pasta,5098
3004,Tomahawk 180 EC,4460
3005,Stomp SC,4359
3006,Stoppa Flugor,4715
3007,Stoppa Getingar,4715
3008,Cuprinol Träbas V,5088
3009,Cuprinol Träbas V,5087
3010,Cuprinol Träskydd V,5088
3011,Cuprinol Träskydd V,5087
3012,Pinotex Superbase Trägrund,5088
3013,Pinotex Superbase Trägrund,5087
3014,Tinova V Träbas,5088
3015,Tinova V Träbas,5087
3016,Tinova Wood Base Oil,5088
3017,Centium 36 CS,4778
3018,Gro-Stop Innovator,4961
3019,Frowncide,PHT-0007-3957
3020,Tiro,PHT-0008-4902
3021,Winby,PHT-0006-3957
3022,Biscaya OD 240,4791
3023,Calypso Klar-till-bruk,4828
3024,Calypso koncentrat,4816
3025,CEL 265 21,4911
3026,CEL 265 39,4913
3027,Express 50 T,3845
3028,Harmony Plus 50 T,4178
3029,Nimbus CS,4669
3030,HEMPEL's CLASSIC 71220,4183
3031,Kemwood ACQ 1900,3691
3032,Kemwood ACQ 2200,4532
3033,Rancona i-Mix,5295
3034,Generation Block,5091
3035,Generation Grain Tech,5092
3036,Generation Pat',5077
3037,Radar mus och råtta korn,5095
3038,Radar mus och råtta pasta,5079
3039,Rodilon Block,5093
3040,Rodilon Paste,5078
3041,Rodilon Trio,5094
3042,Sencor,3020
3043,Revus,4843
3044,Rotstop,4290
3045,Rotstop E,4623
3046,Rotstop S,4622
3047,Rotstop V,4624
3048,Detia Gas Ex-P,4625
3049,Phostoxin pellets,3108
3050,Switch 62.5 WG,4587
3051,Merpan 80 WG,
3052,Aqua Primer 2907-02,5070
3053,Aqua Primer 2907-42,5071
3054,Switch 62.5 WG,4587
3055,Mot Fluga & Geting Spray,4715
3056,Coragen 20 SC,
3057,Sikkens Cetol WP 562 (BPD) Colorless,5103-1
3058,Sikkens Cetol WP 562 (BPD) Dark Oak Classic,5103-2
3059,Sikkens Cetol WP 562 (BPD) Light Oak Classic,5103-3
3060,Sikkens Cetol WP 562 (BPD) Rich Mahogany,5103-5
3061,Sikkens Cetol WP 562 (BPD) Teak Classic,5103-4
3062,Aliette 80 WG,4048
3063,SkeeterVac Surblett Monitoring Lure,
3064,Flügger 90 Aqua,5186
3065,Vertimec,4693
3066,Pirimor,5134
3067,Conserve,4511
3068,Movento SC 100,
3069,Betanal SC,4112
3070,F18 Hard Copper Antifouling,4881
3071,Bioglans,
3072,Antifouling,5001
3073,"Zence 40, Reniderm och Rapsgul såpa",
3074,Curatio,
3075,Stomp SC,4359
3076,Insect Repellent Aerosol IR 3535 30%,5180
3077,Insect Repellent Lotion IR 3535 10%,5178
3078,Insect Repellent Pump Spray IR 3535 20%,5179
3079,Conserve,4511
3080,SumiOne Liquid Vaporiser,5177
3081,Basilit B flytande,3885
3082,Impralit B,3885
3083,Pyramin DF,2545
3084,SeaSea Antifouling Copper Plus,5001
3085,Ohayo,PHT-0005-3957
3086,Contrac Blox,5172
3087,Contrac Pellets,5173
3088,Tomcat Blox,5172
3089,Tomcat Pellets,5173
3090,Mice tox Wheat'Tech,5166
3091,MotMus vete,5166
3092,Rozol Wheat' Tech,5166
3093,Bacara,4542
3094,Fabi CT Copper,4871
3095,Formica,4002
3096,Micron WQ Polishing Antifouling,4814
3097,Raid spray mot geting,4375
3098,Temus,3623
3099,Temus Vaxblock NA,4360
3100,Tomcat E,4097
3101,Nemaslug,4824
3102,Nemasys,4819
3103,Nemasys C,5129
3104,Nemasys G,4892
3105,Nemasys L,4891
3106,DU-DIM 48 SC,3962
3107,Revus,4843
3108,Racumin Pasta P,4394
3109,Black Pearl Pasta - Professionell,5157
3110,Trinol Musgift,5155
3111,Platform 50 WG,4402
3112,Jotun Impregnering Tre,5150
3113,Ogräsättika teknisk 24%,4073
3114,Tinova Wood Base Oil,5088
3115,Protect Sewer Block,5101
3116,Jerbor,3688
3117,Eka Purate,4806
3118,Centium 36 CS,4778
3119,Signum,4884
3120,Detia Sork Stopp,5145
3121,Bromalon,4118
3122,Temus Vaxblock,4060
3123,Doctan Active,4946
3124,Mospilan,4739
3125,Mospilan SG,4739
3126,FästingSTOP,5138
3127,Epok 600 EC,4361
3128,Laqvin Seal AA1940,5136
3129,OgräsNIX DE,PHT-0004-4689
3130,Jenton,4751
3131,Vapona Myrpulver,4668
3132,Anagyrus fusciventris,5131
3133,Capsanem,5126
3134,Orius-M,5127
3135,Bor-ex,4631
3136,Sibutol FS 199,4566
3137,Laqvin Seal AA 1939,4835
3138,Quad-Glob 200 SL,5022
